k,n,sigma,rmse,accuracy
20,1000,.1,1.52188274591,25.8694998497%
20,1000,.25,1.51561317346,26.6713440914%
20,1000,.50,1.51435614418,25.7392001604%
20,1000,.75,1.50868655153,25.9396612208%
20,1000,1.,1.49862119651,26.6813671444%
1,0,0,1.81383903191,20.4171680706%
5,0,0,1.66214790553,23.6161251504%
10,0,0,1.58648903333,24.4584837545%
15,0,0,1.55362753705,24.3582029683%
20,0,0,1.52308746538,24.8997192138%
25,0,0,1.50783486654,24.8997192138%
1,1000,0,1.58573034088,23.3553951063%
5,1000,1.4526902164,26.6746891296%
10,1000,0,1.40521491634,27.8078620136%
15,1000,0,1.37826664075,28.1087043722%
20,1000,0,1.36899511077,28.1889290012%
25,1000,0,1.35507987814,28.3192940233%

